Date,Title,Price,Link
Jul  2,22' Car Hauling Trailer,$2200,https://oklahomacity.craigslist.org/tro/d/mcloud-22-car-hauling-trailer/6923474312.html
Jul  2,"Medea Breast Pump, Plus Accessories, Car Charger& AC Adapter",$35,https://oklahomacity.craigslist.org/bab/d/oklahoma-city-medea-breast-pump-plus/6908813755.html
Jul  2,"51 car tag,nice repaint",$100,https://oklahomacity.craigslist.org/atq/d/51-car-tagnice-repaint/6911040154.html
Jul  2,2014 CHEVROLET VOLT 40+ MPG!! LOADED!! LOW MI!! SUPER COOL CAR!!,$9900,https://oklahomacity.craigslist.org/ctd/d/norman-2014-chevrolet-volt-40-mpg/6925304280.html
Jul  2,COSCO BLACK AND GRAY COMFY CONVERTIBLE CAR SEAT,$50,https://oklahomacity.craigslist.org/bab/d/oklahoma-city-cosco-black-and-gray/6918514805.html
Jul  2,GRACO SNUGRIDE CLICK CONNECT 30LX INFANT CAR SEAT WITH 2 BASES,$75,https://oklahomacity.craigslist.org/bab/d/oklahoma-city-graco-snugride-click/6922292287.html
Jul  2,BRITAX PIONEER COMBINATION HARNESS-2-BOOSTER CAR SEAT,$125,https://oklahomacity.craigslist.org/bab/d/oklahoma-city-britax-pioneer/6923777008.html
Jul  2,2013 CHEVROLET MALIBU LT 'LOADED' PIONEER STEREO 34+ MPG! GORGEOUS CAR,$8788,https://oklahomacity.craigslist.org/ctd/d/norman-2013-chevrolet-malibu-lt-loaded/6925274409.html
Jul  2,2002 CHEVROLET CAMARO POLICE PKG (FEET-ONLY) COLLECTORS CAR! 26 MILES!,$48800,https://oklahomacity.craigslist.org/ctd/d/norman-2002-chevrolet-camaro-police-pkg/6925254792.html
Jul  2,"40 new tires,16s,18s car,and 18s truck",$1,https://oklahomacity.craigslist.org/for/d/oklahoma-city-40-new-tires16s18s-carand/6922169556.html
Jul  2,"new mobility scooter lift for car,truck,van",$300,https://oklahomacity.craigslist.org/for/d/oklahoma-city-new-mobility-scooter-lift/6923736754.html
Jul  2,"Vintage RARE Blank Car Keys, Gold Plated with Mobil Pegasus Logo, Each",$6,https://oklahomacity.craigslist.org/pts/d/oklahoma-city-vintage-rare-blank-car/6925169618.html
Jul  2,Atlas KM Kerr Mcgee O Model Railroad Hopper Train Car,$25,https://oklahomacity.craigslist.org/clt/d/atlas-km-kerr-mcgee-model-railroad/6920381379.html
Jul  2,Big Tex Trailers Car/Auto Hauler,$0,https://oklahomacity.craigslist.org/trb/d/norman-big-tex-trailers-car-auto-hauler/6925153098.html
Jul  2,Car Stereo Pioneer,$20,https://oklahomacity.craigslist.org/ele/d/oklahoma-city-car-stereo-pioneer/6914246848.html
Jul  2,Car Battery Post Spray,$2,https://oklahomacity.craigslist.org/tls/d/oklahoma-city-car-battery-post-spray/6921443069.html
Jul  2,Car/Truck Safety Kit,$5,https://oklahomacity.craigslist.org/tls/d/oklahoma-city-car-truck-safety-kit/6921443506.html
